sweep,m_easy,m_medium,m_hard,Y,min_x,x_p10,x_median,x_max,eta,verifier_tokens_per_s,fill_ratio,mean_batch_size,target_utilization,mean_selected_gamma,share_easy_gsm8k,x_mean_easy_gsm8k,x_min_easy_gsm8k,alpha_hat_mean_easy_gsm8k,alpha_ucb_mean_easy_gsm8k,gamma_mean_easy_gsm8k,verification_opportunities_easy_gsm8k,verifier_token_positions_easy_gsm8k,verifier_token_share_easy_gsm8k,committed_useful_tokens_easy_gsm8k,committed_useful_token_share_easy_gsm8k,avg_wait_ms_easy_gsm8k,avg_z_queue_easy_gsm8k,share_medium_cnn_summarize,x_mean_medium_cnn_summarize,x_min_medium_cnn_summarize,alpha_hat_mean_medium_cnn_summarize,alpha_ucb_mean_medium_cnn_summarize,gamma_mean_medium_cnn_summarize,verification_opportunities_medium_cnn_summarize,verifier_token_positions_medium_cnn_summarize,verifier_token_share_medium_cnn_summarize,committed_useful_tokens_medium_cnn_summarize,committed_useful_token_share_medium_cnn_summarize,avg_wait_ms_medium_cnn_summarize,avg_z_queue_medium_cnn_summarize,share_hard_math,x_mean_hard_math,x_min_hard_math,alpha_hat_mean_hard_math,alpha_ucb_mean_hard_math,gamma_mean_hard_math,verification_opportunities_hard_math,verifier_token_positions_hard_math,verifier_token_share_hard_math,committed_useful_tokens_hard_math,committed_useful_token_share_hard_math,avg_wait_ms_hard_math,avg_z_queue_hard_math,verify_token_budget,n_seeds
a,1.0,1.0,1.0,25.998662774108357,0.8883181010309288,0.9370154312358377,1.167708421614505,1.6646639380629449,0.7836372533070648,28.916240384814728,0.7947885955309615,1.207607352176144,0.7947885955309615,2.948935242345525,0.3513289993967386,1.30455822822338,1.151689836258755,0.9131372733010501,0.9999990000000003,2.882052169815848,996.6666666666666,3869.0,0.30148671480953193,3360.0,0.3341300755368464,2315.4592675371464,0.0,0.34542895792663203,0.9979605888239335,0.8883181010309288,0.7751942737504898,0.9841847624325406,3.3379056487156533,1194.3333333333333,5180.666666666667,0.40369937621709734,3336.0,0.3317398489263071,2358.958132323438,0.0,0.3032420426766292,1.5770219754258585,1.5140306599498388,0.9402483443619541,0.9999918507629424,2.573431672348895,1058.6666666666667,3783.0,0.29481390897337056,3360.0,0.3341300755368464,1735.2346497067263,0.0,6.0,3
a,1.0,1.0,2.0,25.9195046085492,0.8936284670632383,0.9308069407877829,1.1686011206191254,1.6792996141059027,0.782574312757748,29.11229668753712,0.8014455910120658,1.215929212847047,0.8014455910120658,2.9547439759173,0.34908093515847977,1.2925549193592039,1.153650379952218,0.9117601104726343,0.9999990000000002,2.8879613613905746,999.6666666666666,3886.6666666666665,0.3024504796749372,3360.0,0.3341300755368464,2321.5163532851534,0.0,0.34436129282217626,0.9916928093304865,0.8936284670632383,0.778416284567678,0.9845887102375492,3.3454177638125704,1193.3333333333333,5185.333333333333,0.4034997806731046,3336.0,0.3317398489263071,2374.5460165347326,0.0,0.30655777201934375,1.5892769778120783,1.522215423421062,0.9394171478720335,0.9999954416704028,2.576963305008037,1056.3333333333333,3778.3333333333335,0.2940497396519581,3360.0,0.3341300755368464,1724.0578154352163,0.0,6.0,3
a,1.0,1.0,4.0,26.228870270830413,0.8994357819464648,0.941298225562715,1.1727179884431227,1.7079698613226482,0.7817676161025381,29.340198379970186,0.8013444712570893,1.2187978310569905,0.8013444712570893,2.9449116745698896,0.34897116611781237,1.3075413504323914,1.1600461741132542,0.9135598410496225,0.9999990000000002,2.8754798960165053,1006.6666666666666,3901.3333333333335,0.3032671721375133,3360.0,0.33411901643336367,2280.1774640104177,0.0,0.3449452140496209,1.0052511519245892,0.8994357819464648,0.778221298215033,0.9846937956796876,3.333012476729639,1197.0,5186.333333333333,0.4031274468026515,3336.3333333333335,0.33176196713327255,2329.555530760859,0.0,0.30608361983256666,1.6057640900964734,1.532435537110714,0.9393085197425051,0.9999876084862,2.571904295525652,1057.3333333333333,3776.6666666666665,0.29360538105983514,3360.0,0.33411901643336367,1702.399773454528,0.0,6.0,3
a,1.0,1.0,8.0,26.199592300215638,0.8936689970781466,0.9349288384695525,1.1785862351592122,1.7011332617725323,0.7833261085202173,29.359759145899215,0.8032774685336171,1.2187848653993525,0.8032774685336171,2.954489009522446,0.3498656290966582,1.3092972167982722,1.1692650074367474,0.9156768699317532,0.9999990000000002,2.8858852046817405,996.3333333333334,3871.6666666666665,0.3016097079879235,3360.0,0.3341743339392522,2305.8036948978256,0.0,0.3442018836764517,1.0020547669882234,0.8936689970781466,0.7739960138742554,0.9835778564339451,3.3443827933227173,1195.6666666666667,5194.333333333333,0.4046448956190823,3334.6666666666665,0.33165133212149545,2338.9976411073644,0.0,0.3059324872268901,1.6032037759467441,1.536829931093077,0.9414663768953386,0.9999872396374195,2.5772608682104563,1054.0,3770.3333333333335,0.2937453963929941,3360.0,0.3341743339392522,1715.8086339310057,0.0,6.0,3
a,1.0,1.0,16.0,26.30979303975073,0.908290714430509,0.9468621489014041,1.1783379441944613,1.7054301917743961,0.7848351759279661,29.313990654943495,0.8040660152188023,1.2214080222334083,0.8040660152188023,2.9498491335264014,0.34882498294308045,1.3109867412310825,1.1714512302623197,0.913057764376401,0.9999990000000002,2.883743890039332,1001.0,3887.6666666666665,0.30339546773567017,3360.0,0.3341300755368464,2282.143859745281,0.0,0.345604878294884,1.0103090761294196,0.908290714430509,0.7797080371328784,0.9847237767424434,3.3437094910318628,1187.6666666666667,5158.666666666667,0.40258541208212356,3336.0,0.3317398489263071,2338.0376099580953,0.0,0.3055701387620354,1.608020833193675,1.5371756517393556,0.9385744858896756,0.9999990000000003,2.5695370457687505,1055.3333333333333,3767.0,0.2940191201822063,3360.0,0.3341300755368464,1701.4943265315887,0.0,6.0,3
a,1.0,1.0,32.0,25.97988388520937,0.8942046761471937,0.9319739216237789,1.1683934658008894,1.6802652104083122,0.7819167313058775,29.14606544643833,0.7995676439055162,1.2147944048597223,0.7995676439055162,2.9491317416899734,0.34880906859528243,1.2944358204729534,1.1571982971760015,0.9124408714909219,0.9999990000000002,2.88570911221251,1000.6666666666666,3888.3333333333335,0.3023279397974484,3360.0,0.3341300755368464,2318.3398935743407,0.0,0.34562221641343455,0.9977507387670421,0.8942046761471937,0.7763283239192499,0.9841618929906536,3.3353009039985744,1195.3333333333333,5182.0,0.40291433555475625,3336.0,0.3317398489263071,2353.350620731175,0.0,0.305568714991283,1.5878152985990635,1.5227487296280555,0.9370213232105291,0.999985597901819,2.5738765543519406,1060.6666666666667,3790.6666666666665,0.2947577246477952,3360.0,0.3341300755368464,1718.2900723369269,0.0,6.0,3
a,1.0,1.0,64.0,26.280236149345995,0.9035828258743175,0.9397288920926669,1.1828522922453166,1.7009815437104836,0.7845662219019247,29.417062686037962,0.8027109386119881,1.217686001215711,0.8027109386119881,2.9552517051395633,0.3490151256599299,1.3101043797637044,1.1652662667216045,0.9131030689061957,0.9999926872414052,2.885638654442083,1000.0,3885.6666666666665,0.30314048880214406,3360.0,0.3341302159699689,2288.0397653426858,0.0,0.3453603025059481,1.0085013059676688,0.9035828258743175,0.7779262462487425,0.9845063620656914,3.349202741934139,1188.0,5166.666666666667,0.4030799574098456,3336.0,0.33173956806006216,2340.1842849789814,0.0,0.30562457183412195,1.6065987474582084,1.5419968578662069,0.9410597313313268,0.9999990000000003,2.5769925209150446,1052.6666666666667,3765.3333333333335,0.2937795537880102,3360.0,0.3341302159699689,1709.3118438458678,0.0,6.0,3
am_wide10,1.0,1.0,1.0,39.13970283739284,1.3716816496366322,1.4388447146704773,1.7482534891407095,2.5449866502768015,0.7610365924910963,43.46595558823847,0.7095447695206086,1.799324300465866,0.7095447695206086,2.94333581974646,0.35131859147514044,1.9643309909999698,1.7387434029976985,0.8927201092034786,0.9999928178868576,2.866842116842117,1044.3333333333333,4038.3333333333335,0.3057251421954974,3360.0,0.3342639609062685,1336.8051074447797,0.0,0.3483488698058707,1.5149868028816418,1.3716816496366322,0.7729235380122236,0.9830427758803628,3.3525154209915393,1200.3333333333333,5224.333333333333,0.3954977247772231,3332.0,0.3314720781874631,1397.4884739694899,0.0,0.30033253871898885,2.350900934891656,2.2104684423301766,0.9195526059137252,0.999807512832621,2.5713702256760045,1105.0,3946.3333333333335,0.2987771330272794,3360.0,0.3342639609062685,1001.2032394631751,0.0,10.0,3
am_wide10,1.0,2.0,1.0,42.620181655442714,1.498293888391449,1.6083726391776418,1.8801775882292595,2.7405297467853575,0.7536522412467939,46.888439402973006,0.7195708812652922,1.82746512040774,0.7195708812652922,2.937552572050645,0.34475827541357423,2.098383994498565,1.836219837430818,0.8787895120693946,0.9999140043931943,2.8525407241152183,1064.0,4099.333333333333,0.3074789651614931,3350.3333333333335,0.3334767127023531,1190.582626472363,0.0,0.35923109156471694,1.7017912285358843,1.498293888391449,0.7707552998620625,0.9811489670909741,3.3453311792213714,1209.0,5253.333333333333,0.39405016739929283,3336.3333333333335,0.33208366328274597,1183.9593047582885,0.0,0.29601063302170877,2.5230745274259605,2.362747310555097,0.909361447917683,0.99982341135697,2.5758610516978897,1112.6666666666667,3978.6666666666665,0.29847086743921397,3360.0,0.3344396240149008,893.3064767693063,0.0,10.0,3
am_wide10,1.0,4.0,1.0,43.19820317923737,1.5063719513045264,1.6044882799726612,1.8990125923950283,2.7896323681765622,0.7631274610589784,46.27300899643148,0.7149206461906692,1.8218791920415764,0.7149206461906692,2.9240995623415227,0.3472467403329629,2.1425368193674497,1.8687566520267727,0.8854166663778574,0.9998857661344394,2.842987490554531,1047.6666666666667,4026.0,0.30572074836366264,3360.0,0.33438583608119027,1185.398451458191,0.0,0.35822864264437376,1.7197199843980784,1.5063719513045264,0.7748137916899188,0.982884082391334,3.3403031574961624,1191.3333333333333,5170.0,0.3925527234296899,3328.3333333333335,0.33122832783761935,1179.6544692253167,0.0,0.2945246170226633,2.544593116816504,2.3610151537776676,0.9067821738962252,0.9995315185751784,2.5568589956083,1117.0,3973.0,0.3017265282066474,3360.0,0.33438583608119027,878.2371386986666,0.0,10.0,3
