x,n,status,min_rate_mean
2.0,1,feasible,8.943282769959353
2.0,2,feasible,6.5098902786335255
2.0,4,feasible,5.6192105198564
2.0,8,feasible,4.401750278831376
2.0,12,feasible,4.179382337437325
3.0,1,feasible,8.940594153078855
3.0,12,feasible,3.9829390129060696
4.5,1,feasible,8.947795362155095
4.5,12,infeasible,3.6888180508454553
4.5,6,feasible,5.003109902020164
4.5,9,infeasible,4.323015574651869
4.5,7,infeasible,4.730548758382714
6.0,1,feasible,8.928030355603088
6.0,6,infeasible,4.932158208749168
6.0,3,infeasible,6.326345648527727
6.0,2,feasible,6.472760080392305
