label,policy,V,n_seeds,Y_mean,Y_std,min_x_mean,min_x_std
auc_V1,adaptive_index,1.0,3,36.83197008635397,0.3491528733142937,1.5699368079768474,0.009766130744594188
auc_V10,adaptive_index,10.0,3,37.29811879429741,0.3822640523738177,1.5883719717243645,0.01439843393210837
auc_V100,adaptive_index,100.0,3,37.62326096215594,0.2728747785313477,1.601015207469376,0.008753506618994098
auc_V1000,adaptive_index,1000.0,3,37.14520611550996,0.2167800962615291,1.6057797741321806,0.008088170118509277
auc_V3,adaptive_index,3.0,3,36.891487105925,0.38095983270315387,1.5739313983629308,0.017271702799322688
auc_V30,adaptive_index,30.0,3,37.2196986975845,0.37114634969696053,1.586866615455807,0.010560430690320921
auc_V300,adaptive_index,300.0,3,37.54162936039538,0.27821315427405413,1.6048927952040033,0.010379193361251045
fixed_slo,fixed_slo,,3,37.64401597175631,0.5356631318839808,1.6385658208628595,0.02446657533887141
gelato,gelato,,3,18.394336834352345,0.6746217710877397,0.874243540492452,0.03218548448597865
goodspeed,goodspeed,,3,34.613011548601875,0.13405984587134664,1.4855177220468683,0.00861290695516333
max_throughput,fixed_gamma,,3,33.948663146292425,0.07718287099395564,1.5929522122646762,0.0032799761729709097
turbospec,turbospec,,3,25.437417521785747,5.299228316410484,0.9692681525911085,0.12584220440801733
