label,policy,x_target,seed,Y,min_x,constraint_met
x_0.1,adaptive_index,0.1,1,35.291204305842186,1.5061746801189282,True
x_0.3,adaptive_index,0.3,2,35.08682385389702,1.505873782061534,True
x_0.6,adaptive_index,0.6,3,35.0345965914141,1.4979418416406998,True
x_1.3,adaptive_index,1.3,1,35.46117894665785,1.5160084787521937,True
x_1.6,adaptive_index,1.6,2,35.551811040857764,1.5273345784782568,False
x_2.0,adaptive_index,2.0,3,36.61778416913705,1.5540865511954982,False
x_0.1,adaptive_index,0.1,2,35.421557662041344,1.5220579597549666,True
x_0.3,adaptive_index,0.3,3,35.22772780871386,1.5055855440445345,True
x_1.0,adaptive_index,1.0,1,34.94061777558866,1.4901392316735065,True
x_1.3,adaptive_index,1.3,2,35.71236459693434,1.536068073086967,True
x_1.6,adaptive_index,1.6,3,35.84951326666702,1.5272588949568526,False
x_2.5,adaptive_index,2.5,1,36.29589441905054,1.531721628927753,False
x_0.1,adaptive_index,0.1,3,35.34491141102208,1.5069908340443643,True
x_0.6,adaptive_index,0.6,1,34.86125633979838,1.488470348552254,True
x_1.0,adaptive_index,1.0,2,35.29294548562112,1.5150285771644456,True
x_1.3,adaptive_index,1.3,3,34.93035158730251,1.4864027937236552,True
x_2.0,adaptive_index,2.0,1,36.11354960108139,1.53300609633274,False
x_2.5,adaptive_index,2.5,2,36.57071404643586,1.545972213703269,False
x_0.3,adaptive_index,0.3,1,34.89388211962892,1.4934530523370024,True
x_0.6,adaptive_index,0.6,2,35.55634516915475,1.524155645699933,True
x_1.0,adaptive_index,1.0,3,35.25769699517077,1.5042392901077275,True
x_1.6,adaptive_index,1.6,1,35.84566340216264,1.5320853639989709,False
x_2.0,adaptive_index,2.0,2,36.30618863663513,1.5447817712510248,False
x_2.5,adaptive_index,2.5,3,37.165844749126016,1.5602947203098183,False
