label,policy,V,seed,Y,min_x
auc_V1,adaptive_index,1.0,1,36.51136474790411,1.5643730460149952
auc_V3,adaptive_index,3.0,2,37.17615702717913,1.5853353330457365
auc_V10,adaptive_index,10.0,3,37.48434034975995,1.5917227301207573
auc_V100,adaptive_index,100.0,1,37.24984408719877,1.588825640972864
auc_V300,adaptive_index,300.0,2,37.78308543313295,1.6167384130676523
auc_V1000,adaptive_index,1000.0,3,37.44949582814154,1.6159661769040177
goodspeed,goodspeed,,1,34.74991807427168,1.4844394193762849
turbospec,turbospec,,2,31.18840643102701,1.118367858643783
fixed_slo,fixed_slo,,3,37.61609146983083,1.6362486359130302
auc_V1,adaptive_index,1.0,2,36.66704859267964,1.5617711148335829
auc_V3,adaptive_index,3.0,3,36.35302354477824,1.5495230074805375
auc_V30,adaptive_index,30.0,1,36.90850261605736,1.576195221949961
auc_V100,adaptive_index,100.0,2,37.894295227592,1.6052400525733348
auc_V300,adaptive_index,300.0,3,37.689933036878976,1.6064768155173832
max_throughput,fixed_gamma,,1,33.95051719481149,1.594085540168639
goodspeed,goodspeed,,2,34.65813872349434,1.4965640707649264
turbospec,turbospec,,3,26.723332209331748,0.978869050343706
gelato,gelato,,1,17.807579503421366,0.8461523598912585
auc_V1,adaptive_index,1.0,3,37.31749691847817,1.583666263081964
auc_V10,adaptive_index,10.0,1,36.76548571017349,1.5693025802468612
auc_V30,adaptive_index,30.0,2,37.00924733120242,1.5831538280798745
auc_V100,adaptive_index,100.0,3,37.72564357167703,1.6089799288619289
auc_V1000,adaptive_index,1000.0,1,36.96071557489659,1.5961803944623554
max_throughput,fixed_gamma,,2,34.04225180983323,1.5962809355128915
goodspeed,goodspeed,,3,34.4309778480396,1.4755496759993938
fixed_slo,fixed_slo,,1,37.00237342336673,1.6098263706986613
gelato,gelato,,2,19.33922043225304,0.9193056150670458
auc_V3,adaptive_index,3.0,1,37.14528074581765,1.5869358545625185
auc_V10,adaptive_index,10.0,2,37.64453032295879,1.6040906048054755
auc_V30,adaptive_index,30.0,3,37.74134614549372,1.6012507963375855
auc_V300,adaptive_index,300.0,1,37.151869611174206,1.5914631570269744
auc_V1000,adaptive_index,1000.0,2,37.02540694349175,1.605192751030169
max_throughput,fixed_gamma,,3,33.853220434232554,1.5884901611124973
turbospec,turbospec,,1,18.40051392499848,0.8105675487858367
fixed_slo,fixed_slo,,2,38.31358302207136,1.6696224559768873
gelato,gelato,,3,18.036210567382625,0.8572726465190517
