label,policy,x_target,seed,constraint_met,Y,min_x,eta,share_easy_gsm8k,share_medium_cnn_summarize,share_hard_math,x_easy_gsm8k,x_medium_cnn_summarize,x_hard_math
x_0.1,adaptive_index,0.1,1,True,26.497294406154627,0.919782774594573,0.778672032193159,0.3476638506856953,0.3462966825498951,0.3060394667644097,9.212151405996252,9.17592514939924,8.109217850759137
x_0.3,adaptive_index,0.3,2,True,24.97925119313724,0.8492176091776602,0.783838699593623,0.3499492759910027,0.3443927581850987,0.3056579658238986,8.741470869835766,8.602673215802952,7.635107107498522
x_0.6,adaptive_index,0.6,3,True,25.569839029889252,0.8718082927134344,0.7824027335559525,0.3532357144689417,0.344233240862644,0.3025310446684142,9.032180358578763,8.801988557594903,7.735670113715587
x_1.3,adaptive_index,1.3,1,False,27.027679284181477,0.9599071630704052,0.7747324659327123,0.344866305205812,0.3492934602912756,0.3058402345029122,9.32093589302333,9.440591620814576,8.266151770343566
x_1.6,adaptive_index,1.6,2,False,25.21376236433577,0.891684232001434,0.7809168028640361,0.3473106096847365,0.3468352593027028,0.3058541310125606,8.757007179203523,8.74502180763113,7.711733377501124
x_2.0,adaptive_index,2.0,3,False,25.46786981871197,0.8549069501414117,0.7766129653896554,0.3556846560331993,0.3436453697948887,0.3006699741719121,9.058530516366869,8.751915541739361,7.6574237606057505
x_0.1,adaptive_index,0.1,2,True,25.533911346096453,0.8714536596095768,0.788708028623103,0.3488822507021685,0.3460124590777682,0.3051052902200633,8.908328459655767,8.83505145473656,7.790531431704125
x_0.3,adaptive_index,0.3,3,True,25.793674313775696,0.8874095599718024,0.7787138661307775,0.3546678537541319,0.3435850499975995,0.3017470962482686,9.148187109299908,8.86232087872042,7.783166325755369
x_1.0,adaptive_index,1.0,1,False,27.03764911456218,0.9585483876069066,0.7755086313193588,0.3440805869315511,0.3491873628072998,0.3067320502611489,9.303130176587889,9.441205390823091,8.293313547151195
x_1.3,adaptive_index,1.3,2,False,25.442555342302963,0.9075502887816114,0.7841451020248612,0.3474201240580878,0.3481562895276921,0.3044235864142199,8.839255733377662,8.85798566407916,7.745313944846138
x_1.6,adaptive_index,1.6,3,False,25.8821175308241,0.9005581269022408,0.7775719688199428,0.3548760855311492,0.345996096641186,0.2991278178276646,9.18494455459599,8.95511163847355,7.742061337754556
x_2.5,adaptive_index,2.5,1,False,26.483516431028946,0.9310692321207552,0.7737198216207904,0.3487949227992226,0.3459388402645709,0.3052662369362063,9.237316069012683,9.16167696027786,8.084523401738394
x_0.1,adaptive_index,0.1,3,True,25.769760751520028,0.8803095813623727,0.7824027335559525,0.3552165553254597,0.3434877631831821,0.3012956814913581,9.153845645716176,8.851597478305374,7.764317627498481
x_0.6,adaptive_index,0.6,1,True,26.752324280426595,0.9286699576973404,0.7787494195944901,0.3476349430726118,0.3471220327031558,0.3052430242242323,9.300042728286147,9.286321183755671,8.165960368384773
x_1.0,adaptive_index,1.0,2,False,25.493038305603832,0.901204031516614,0.7864816121696856,0.3458473820635573,0.3482127604168055,0.3059398575196372,8.81670055883907,8.877001239805674,7.799336506959091
x_1.3,adaptive_index,1.3,3,False,25.49680751620957,0.8734191202556115,0.7764932562620424,0.3516702231394089,0.3471632020701085,0.3011665747904825,8.96646798856798,8.851553339892526,7.6787861877490675
x_2.0,adaptive_index,2.0,1,False,26.92605406774587,0.9380893749367823,0.7752696456086287,0.3474956321213134,0.3496670361640112,0.3028373317146753,9.356686178804017,9.415153521460615,8.15421436748124
x_2.5,adaptive_index,2.5,2,False,25.096532923264103,0.8794240124032505,0.7826222603541065,0.3521983802418217,0.3427012957580532,0.3051003240001251,8.838958245259168,8.600614351837251,7.656960326167685
x_0.3,adaptive_index,0.3,1,True,26.74874570245449,0.9325202646241432,0.7749711205236812,0.347519646575963,0.3458129295216866,0.3066674239023503,9.295714652867296,9.250062112396414,8.202968937190784
x_0.6,adaptive_index,0.6,2,True,24.93410082519595,0.8477258959072914,0.7845131012905749,0.3506954410290828,0.3446093542210817,0.3046952047498352,8.744275485555713,8.592524383454117,7.597300956186117
x_1.0,adaptive_index,1.0,3,False,25.57866015269525,0.8663188475573163,0.7821597702041767,0.3527219309387633,0.3450676447769014,0.3022104242843353,9.02215439988507,8.826368015439327,7.730137737370852
x_1.6,adaptive_index,1.6,1,False,26.605745992622943,0.945552644260594,0.7766113469702818,0.3453569302730337,0.3485833210931697,0.3060597486337964,9.188478763636333,9.274319298269798,8.142947930716815
x_2.0,adaptive_index,2.0,2,False,25.18387102195024,0.8812079784036159,0.7836001561889887,0.3494351298576412,0.345501128747114,0.3050637413952449,8.800129240873268,8.701055864305543,7.682685916771431
x_2.5,adaptive_index,2.5,3,False,25.31471229109909,0.8489399254858858,0.7777520457001699,0.3580900605234529,0.342420610424956,0.299489329051591,9.06494685645347,8.668279235450289,7.581486199195332
